stockname,2016,2015,2014,2013,2012
ACIASIA,--,--,--,0.01,0.06
ADANIPOWER,0.02,-0.24,2.13,-8.16,-1.35
AKSHOPTFBR,2.14,2.18,1.75,1.77,0.75
ALEMBICLTD,0.92,0.9,1.11,0.86,-0.91
ANANTRAJ,1.89,4.24,2.99,3.38,3.7
ANDHRABANK,8.6,10.82,7.67,23.04,24.03
ANDREWYU,0.25,0.39,0.68,0.35,0.31
APOLLOTYRE,16.75,12.7,8.78,6.2,3.6
AREYDRG,--,--,--,--,--
ARVIND,12.35,14.62,14,10.12,16.83
ASHOKLEY,2.54,1.2,0.11,1.63,2.13
ASIANPAINT,16.65,13.84,12.19,109.47,99.92
ASSAMCO,-1.72,0.04,0.24,0.65,0.6
ATHARVENT,0.01,0.04,0.36,0.45,0.36
AXISBANK,34.59,31.18,132.56,119.67,102.94
BALASORE,2.5,4.14,7.16,4.48,4.97
BALRAMCHIN,4.06,-2.36,0.15,6.63,0.27
BAMPSL,0.01,0.01,0.04,0.03,0.01
BASANTGL,0.62,1.02,1.83,1.12,0.84
BERGEPAINT,5.12,3.84,6.76,6.06,5.13
BERLDRG,--,--,0.59,1.03,0.33
BHANDHOS,0.28,1.5,1.35,1.96,3.04
BHARATFORG,30.11,30.88,17.18,13.13,15.55
BHARTIARTL,18.88,33.02,16.69,13.42,15.09
BIOCON,40.44,18.06,16.53,14.08,13.04
BLISSGVS,6.36,5.82,5.23,5.5,--
BODALCHEM,7.94,8.43,2.81,-1.94,-2.74
BPCL,102.78,70.32,56.16,36.55,36.27
CADILAHC,19.31,62.08,44.13,22.79,32.11
CARBORUNIV,6.18,7.89,3.88,3.98,7.83
CELEBRITY,5.49,-0.6,3.09,-2.32,-7
CENTRUM,0.15,0.23,0.27,0.33,-14.03
CHENNPETRO,48.96,-2.62,-20.41,-118.65,4.15
CHLOGIST,0.63,0.04,-0.92,0.35,0.62
CIPLA,17.41,14.71,17.29,18.77,14
CONFIPET,--,--,--,--,--
DABUR,5.34,4.35,3.85,3.39,2.66
DEEPAKNI,6.07,5.11,36.63,36.15,22.06
DELTACORP,1.69,1.39,2.74,0.93,-0.09
DISHMAN,10.8,7.25,10.75,7.83,5.56
DISHTV,3.94,0.01,-1.45,-0.62,-1.49
DLF,5.47,5.28,2.98,2.95,6.14
DONEAR,1.08,1.49,0.72,0.12,0.01
DWARKESH,22.02,-13.19,-13.53,-7.88,-9.02
EDELWEISS,1.93,1.43,0.95,0.62,0.91
EIDPARRY,-3.78,8.43,1.51,19.08,7.92
ELECON,3.96,3.05,2.52,0.78,7.49
ESCORTS,7.49,6.26,20.53,5.84,11.74
EXIDEIND,7.33,6.42,5.73,6.15,5.42
FSL,2.24,2.47,2.04,2.7,1.05
GABRIEL,5.24,4.18,2.97,2.7,7.4
GAEL,7.49,6.08,8.07,8.19,3.59
GAIL,18.12,23.96,34.49,31.71,28.8
GANESHBE,9.3,0.02,0.02,1.69,0.23
GATI,2.26,2.73,2.37,2.93,8.33
GENNEX,0.19,0.07,0.02,0.03,0.03
GHCL,25.77,18.43,11.57,11.49,11.96
GITANJALI,4.85,1.94,-2.46,28.9,29.43
GNFC,14.56,-29.09,18.1,17.57,18.26
GRANULES,5.85,4.67,40.06,15.02,13.61
GRAUWEIL,1.72,1.46,1.36,0.09,1.02
GSFC,9.52,10.05,8.59,13,95.06
HAVELLS,11.45,7.45,38.36,29.76,24.48
HCLTECH,33.62,45.17,85.66,53.32,28.23
HDFC,44.43,38.13,34.89,31.84,27.97
HDFCBANK,48.8,42.1,35.5,28.5,22.1
HDIL,8.17,5.49,5.81,3.46,9.41
HEXAWARE,11.05,10.6,11.19,9.66,7.94
HFCL,0.92,1.49,1.15,0.4,0.06
HINDALCO,2.94,4.48,7.09,8.88,11.69
HINDOILEXP,0.5,-93.57,-9.56,2.57,6.15
HINDZINC,19.33,19.35,16.34,16.33,13.08
IBREALEST,1.23,0.54,3.41,6.08,0.34
ICICIBANK,16.75,19.32,84.99,72.2,56.11
IDEA,7.27,7.94,5.09,2.47,1.74
IFCI,2.03,3.14,3.05,4.14,8.99
IGL,29.73,31.27,25.73,25.29,21.89
IKFTECH,0.02,0.03,0.02,0.02,0.01
INDIACEM,4.49,0.96,-1.17,5.32,9.54
INDIANB,14.81,21.62,26.07,35.8,39.57
INDINFO,--,0.01,--,--,--
INDUSINDBK,39.68,33.99,26.85,21.83,17.2
INFY,68.73,105.91,178.39,158.76,147.51
IOC,42.83,21.72,28.91,20.61,16.29
IRB,9.24,4.16,8.67,5.64,4.99
ITC,12.26,12.05,11.09,9.45,7.93
ITI,7.77,-11.26,-12.8,-7.25,-14.3
JCTLTD,0.02,0.16,0.07,-2.32,-1.85
JETAIRWAYS,103.31,-159.66,-381.3,-56.23,-143.18
JKIL,14.91,31.71,30.23,27.24,24.48
JSWENERGY,5.89,6.06,3.67,6.05,--
JVLAGRO,2.83,3.73,3.65,4.19,4.43
KANANIIND,0.04,0.02,0.01,0.01,0.11
KCP,3.32,1.17,--,2.16,4.56
KCPSUGIND,0.77,-1.43,2.44,3.42,2.33
KESORAMIND,12.49,-33.4,-54.32,-71.98,-83.02
KIRLFER,4.2,3.59,2.9,2.85,2.7
KMSUGAR,1.27,0.81,1.37,-0.68,-1.22
KOPRAN,2.76,3.89,4.36,3.09,1.58
KOTAKBANK,11.42,24.2,19.62,18.31,14.69
KTKBANK,22.04,23.96,16.51,18.48,13.07
KWALITY,6.59,6.84,6.23,4.75,4.48
LAKSHVILAS,10.05,9.16,6.11,9.39,--
LICHSGFIN,32.91,27.47,26.1,20.28,19.2
LINCOPH,13.01,9.06,7,6.02,3.01
LUPIN,64.1,53.41,51.88,28.19,18.02
MANDHANA,17.25,25.08,17.89,19.73,22.07
MANINFRA,1.52,2.04,5.77,8.8,13.44
MARKSANS,1.75,1.64,1.44,1.03,-4.92
MARSONS,1.27,-1.99,0.25,0.12,1.06
MARUTI,151.33,122.85,92.13,79.19,56.6
MAWANASUG,0.57,-46.17,-74.33,-23.18,-48.32
MBLINFRA,20.51,43.33,42.9,31.59,40.46
MEGASOFT,0.1,--,--,--,1.22
MEGH,1.58,1.03,0.46,0.23,0.65
MOHITIND,1.54,1,1.54,0.47,9.99
MONOT,0.2,0.01,0.03,0.3,-0.43
MOREPENLAB,0.35,--,-0.15,-0.49,-0.55
MOTHERSUMI,5.38,5.84,6.07,7.99,8.09
MRPL,6.55,-9.77,3.43,-4.32,5.18
NECLIFE,2.64,2.95,2.77,3.82,3.27
NHPC,2.2,1.92,0.82,1.91,2.25
NILA,0.46,0.38,0.4,0.43,0.43
NITINFIRE,0.19,0.46,0.5,0.8,0.46
NOCIL,4.83,3.53,1.47,2.64,2.11
NTPC,12.42,12.48,13.31,15.3,11.19
OIL,38.76,41.76,49.59,59.71,57.34
OMAXE,2.8,2.18,3.3,4.95,3.62
ONGC,18.71,20.73,25.83,24.46,29.36
ORICON,1.01,0.49,0.71,1.12,1.05
PASUPTAC,3.36,1.63,0.81,-0.78,-1.03
PETRONET,12.19,11.77,9.49,15.32,14.1
PFC,46.31,45.15,41.04,33.48,23.41
PFOCUS,0.28,-1.33,--,--,1.66
POWERGRID,11.52,9.52,9.36,9.15,7.03
PRAJIND,3.75,3.86,3.52,3.73,3.58
PRATIBHA,5.22,6.18,3.61,9.44,8.36
PRICOL,4.56,-1.9,7.16,1.75,6.27
PRISMCEM,0.17,0.29,-1.66,-1.21,-0.61
PTC,7.89,6.86,8.49,4.36,4.08
RADICO,5.78,5.08,5.36,5.82,4.8
RAIN,0.78,0.73,0.45,1.65,0.83
RANASUG,1.09,-3.58,-1.55,0.35,-1.33
RCF,3.47,5.84,4.53,5.09,4.52
RCOM,-6.52,-0.66,3.54,3.02,0.76
RECLTD,56.99,53.27,47.43,38.66,28.53
RELCAPITAL,38.67,30.77,16.67,26.95,21.14
RELINFRA,75.51,58.31,60.38,76.03,75.7
RICOAUTO,2,12.7,0.19,0.75,-0.29
RIIL,10.17,14.62,15.99,16.15,15.64
RMCL,2.03,20.84,-24.39,-60.91,-19.81
ROLTA,47.4,44.4,28.5,-45.7,20.3
RPOWER,1.44,0.09,0.2,1.83,1.11
SAURASHCEM,7.51,13.03,3.86,35.78,-3.9
SCI,8.1,4.31,-5.9,-2.45,-9.19
SETCO,2.5,8.81,8.7,10.28,24.04
SHALPRO,--,--,--,--,--
SHIVACEM,--,0.13,0.13,0.14,--
SHRENUJ,-2.08,1.07,3.64,3.97,4.51
SINTEX,12.44,12.48,10.77,9.46,8.48
SPICEJET,6.79,-12.28,-19.16,-3.95,-14.35
SREERAYA,3.07,2.82,0.64,5.5,2.06
SREINFRA,1.14,1.81,1.18,1.89,1.15
STARLITE,0.8,1.68,-6.07,-5.22,-2.08
STEELXIND,1.22,5.48,6.9,10.26,--
STEERINTER,0.01,0.01,0.01,0.06,0.01
STOREONE,19.91,8.4,15.02,17.76,5.92
STRTECH,4.59,2.14,1.28,1.21,1.12
SUNDRMFAST,10.5,6.44,5.75,4.52,5.36
SUNILHITEC,28.87,25.08,20.28,22.75,19.53
SUNPHARMA,-4.5,-6.1,-13.66,5,18.6
SUNTECK,22.24,11.86,21.81,1.09,1.88
SUNTV,22.01,18.71,18.19,17.34,17.63
SURATEX,0.28,0.12,0.05,0.34,0.89
SURYAROSNI,14.16,12.34,12.17,15.8,11.86
SUZLON,0.1,-20.09,-4.13,-16.82,-2.84
SYNCOM,-0.88,-0.96,-1.15,0.06,0.05
TANLA,0.82,0.3,-0.96,-0.18,-1.04
TATACHEM,23.34,25.04,1.03,25.25,23.03
TATACOFFEE,5.49,5.44,57.06,50.16,42.22
TATAMETALI,15.97,33.08,15.27,-21.57,-35.83
TATAMOTORS,0.78,-14.72,1.03,0.93,3.9
TATAPOWER,2.36,3.3,3.5,3.44,4.53
TATASPONGE,20.02,59.67,65.69,55.47,49.14
TCS,116.13,98.31,94.15,65.22,55.95
TECHM,33.4,23.58,115.49,51.1,--
TINPLATE,7.01,3.81,5.09,1.69,0.52
TITAN,7.95,9.27,8.35,8.17,6.76
TVSMOTOR,9.1,7.32,5.51,2.44,5.24
UNIONBANK,20.42,28.05,27.99,38.93,34.07
URJAGLOBA,0.02,0.04,0.17,0.15,0.17
VIJAYABANK,4.44,5.11,7.64,9.41,9.49
VIPIND,4.49,3.4,4.1,2.2,4.8
VIVIDHA,0.01,1.02,--,--,0.59
VOLTAS,10.06,9.95,5.48,5.44,4.59
WIPRO,32.97,33.38,30.09,23.03,19.13
YESBANK,60.62,49.34,44.92,36.53,27.87
